variationidtemp,Average Rate,Intial_Repayment,balance_outstanding,Repayment,fees,Total_Cost,Flex Points,Cost Score,Flex Score,Total Score
Endeavour Mutual Bank - 59b359e6-bba1-46d1-b463-f26760d2c5f6 - 12 to 84,6.45,586.2821047,0,35176.92628,150,35326.92628,9,4.260729688,5,4.482510781
Police Bank - 3a79a277-125e-4860-8403-c226cd1c9d90 - 12 to 84,6.49,586.8439373,0,35210.63624,98,35308.63624,6,4.26811079,3.333333333,3.987677553
Suncorp Bank - a6a51106-8ca6-41e1-a842-4df8b46f6424 - 1 to 84,5.99,579.84456,0,34790.6736,475,35265.6736,6,4.285448727,3.333333333,3.999814109
Transport Mutual Credit Union - e07df198-f0fc-4276-974f-b0007f0d53c1 - 12 to 84,6.54,587.546688,0,35252.80128,0,35252.80128,9,4.290643459,5,4.503450421
Queensland Country Credit Union - b3a6907d-a65f-42d5-a2cd-8821c65ee4b8 - 12 to 84,5.99,579.84456,0,34790.6736,420,35210.6736,6,4.307644442,3.333333333,4.01535111
NRMA Car Loans - dda07a49-985b-4268-a8d2-b8b4afd1def3 - 12 to 84,5.99,579.84456,0,34790.6736,380,35170.6736,5.5,4.323786781,3.055555556,3.943317413
360 Finance - a18906f9-b008-4d0d-8a65-21e2e4e40c26 - 12 to 84,5.49,572.8964047,0,34373.78428,759,35132.78428,6,4.339077334,3.333333333,4.037354134
Greater Bank - 4e44a1d7-b0a0-41c1-baed-78bd5dcbfe2b - 12 to 84,5.99,579.84456,0,34790.6736,275,35065.6736,9,4.366160419,5,4.556312293
IMB Bank - 23abca81-27e0-4b51-a57d-1f0395a117db - 12 to 84,5.99,579.84456,0,34790.6736,250,35040.6736,5.5,4.376249381,3.055555556,3.980041233
The Capricornian - c5b9052c-25a1-4f64-88e8-210690d47478 - 0 to 84,5.95,579.2868211,0,34757.20927,250,35007.20927,9,4.389754194,5,4.572827936
Credit Union SA - e9ac59b3-19d3-4e90-ab76-d53951c3db74 - 12 to 84,5.99,579.84456,0,34790.6736,195,34985.6736,9,4.398445096,5,4.578911567
Family First Credit Union - 164767a9-505a-4446-a38b-18eb9bf653b2 - 0 to 84,5.99,579.84456,0,34790.6736,175,34965.6736,9,4.406516265,5,4.584561386
Bank of us - 7fc1cb18-b884-481a-810d-ba8ccb3caa73 - 6 to 84,5.22,569.1657362,0,34149.94417,800,34949.94417,6,4.412864008,3.333333333,4.089004806
G&C Mutual Bank - 77e3fb43-7ecb-428a-9261-cc8844185641 - 0 to 84,5.99,579.84456,0,34790.6736,150,34940.6736,9,4.416605227,5,4.591623659
