Average of Min and Max,Firstdayeachmonth,Company + Product,Company + Variation,Secured PL,productcount,Extrarepaypoints,dailyrepaypoints,weeklyrepaypoints,Monthlyrepaypoints,fortnightlyrepaypoints,Quarterlyrepaypoints,redrawfacilitypoints,redrawactivationfeepenalty,Unsecuredpoints,earlyexitfeepenalty,totalpoints,norepaymentlimitpoints,Past Year Filter (In Progress),variationidtemp,average_rate,Initial_Repayment,balance_outstanding,Repayment,fees,Total_Cost,Personal/Car Loan Bucketing,Number of Records,Car Loan,Unsecured PL,Adminnotes,applicationfeesdollar (custom sql query1),Applicationfeesdollar,applicationfeespercent (custom sql query1),Applicationfeespercent,collectiondate (custom sql query1),Collectiondate,Companycode,Companyid,Companyname,comparisonratecar,comparisonratepersonal,description (custom sql query1),Description,Docreleasefees,Earlyexitpenaltyfee,Earlyexitpenaltyfeeperiod,Encumbrancecheckfees,extrarepaymentdollarlimits,extrarepaymentdollarlimitsperiod,filename (custom sql query1),filename,Hasearlyexitpenalty,Hasearlyexitpenaltyfeesvaries,Hasredrawfacility,introrate,introterm,Isboatallowed,Iscarloan,Iscontractemploymentaccepted,Isdebtconsolidationallowed,Isdiscontinued,Isextrarepaymentsallowed,Isfulltimeemploymentaccepted,Isfullydrawnadvance,Isholidaysallowed,Islineofcredit,Ismedicalbillallowed,Ismotorcycleallowed,Isnewcarallowed,Isparttimeemploymentaccepted,Ispersonalloan,Isrcspecial,Isrenovationallowed,Isrestrictedtocurrenthlcustomer,Issecuredbydeposit,Issecuredbyproperty,Issecuredbyvehicle,Isselfemploymentaccepted,Issharesallowed,Isspecial,Isstudentallowed,Isusedcarallowed,Isweddingallowed,maxloanamount,maxloanterm,Maxrate,Minimumincome,Minimumyearsaddress,minloanamount,minloanterm,Minrate,Minredrawamount,Missedpaymentpenalty,Ongoingfees,Ongoingfeesfrequency,Otherbenefits,Otherfees,Otherpurposes,Otherrestrictions,productid (custom sql query1),Productid,Redrawactivationfee,Repaymentfreq,Repaymenttype,Securedbyothers,Securedtype,Specialconditions,uuid (custom sql query1),Uuid,variationid
9.45,False,Hunter United - 581ff6d9a949c9659bf95bdf,Hunter United - Secured Personal Loan (Not for Debt Consolidation),,1,5,0,0.5,0.5,0,0,0,0,0,0,6,5,3,Hunter United - 31609fb0-3665-454c-b60d-b37c8fc25966 - 0 to 84,9.45,629.323054209,,37759.383252541,480,38239.383252541,PnotC,1,,,,,250,,0,19/03/2018,19/03/2018,HUEC,2efe9eeb-6565-42c7-9497-b1a11a43a7d1,Hunter United,10.36,12.93,Secured Personal Loan (Not for Debt Consolidation),Secured Personal Loan (Not for Debt Consolidation),0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,NO,,,YES,NO,UNKNOWN,NO,False,YES,UNKNOWN,YES,YES,NO,YES,YES,NO,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,YES,YES,70000,84,9.45,0,0,0,0,9.45,0,20,8,Monthly,,0,,,581ff6d9a949c96,581ff6d9a949c9659bf95bdf,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,SECURED,,31609fb0-3665-454c-b60d-b37c8fc25966,31609fb0-3665-454c-b60d-b37c8fc25966,510553
11.86,False,Illawarra Credit Union - 581ff6daa949c9659bf95be3,Illawarra Credit Union - Mortgage Secured Overdraft,,1,0,0,0.5,0.5,0,0,0,0,0,0,1,5,3,Illawarra Credit Union - 06cae1e6-796e-4dc0-aabb-5c92db8a86dc - 0 to 999,11.86,665.212974094,,39912.778445641,0,39912.778445641,PnotC,1,,,,,200,,0,19/03/2018,19/03/2018,ICU,d87e7cbd-2a18-489d-9b95-e6d08a699068,Illawarra Credit Union,,12.74,Mortgage Secured Overdraft,Mortgage Secured Overdraft,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,NO,,,NO,NO,UNKNOWN,YES,False,NO,UNKNOWN,NO,YES,YES,YES,NO,NO,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,NO,YES,99999999,999,11.86,0,0,10000,0,11.86,0,0,0,Monthly,,0,,,581ff6daa949c96,581ff6daa949c9659bf95be3,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,SECURED,,06cae1e6-796e-4dc0-aabb-5c92db8a86dc,06cae1e6-796e-4dc0-aabb-5c92db8a86dc,510561
21.99,False,Latitude Financial Services - 581ff6dba949c9659bf95bef,Latitude Financial Services - Unsecured Personal Loan,,1,5,0,0.5,0.5,0,0,0,0,0,-3,6,5,3,Latitude Financial Services - 0eeb9f81-09f0-4d99-b1ff-e4d44f11d28b - 24 to 84,21.99,828.396799866,,49703.807991989,1030,50733.807991989,PnotC,1,,,,250,,,0,19/03/2018,19/03/2018,GEMS,e67c665d-da05-4e7d-9475-0f1a126fcd8d,Latitude Financial Services,14.83,16.67,Unsecured Personal Loan,Unsecured Personal Loan,0,300,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,NO,,,YES,NO,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,YES,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,YES,YES,YES,99999999,84,29.99,0,0,3000,24,13.99,0,35,13,Monthly,,0,,,581ff6dba949c96,581ff6dba949c9659bf95bef,0,"[""Weekly"",""Fortnightly"",""Monthly""]",FIXED,,UNSECURED,,0eeb9f81-09f0-4d99-b1ff-e4d44f11d28b,0eeb9f81-09f0-4d99-b1ff-e4d44f11d28b,510577
10.49,False,Latitude Financial Services - 581ff6dba949c9659bf95bf1,Latitude Financial Services - Motor Loan,,1,5,0,0.5,0.5,0,0,0,0,0,-3,6,5,3,Latitude Financial Services - a8183c43-78d4-4bde-af31-fcbdb1379a3d - 12 to 84,10.49,644.668407305,,38680.104438279,600,39280.104438279,CnotP,1,,,,,295,,0,19/03/2018,19/03/2018,GEMS,e67c665d-da05-4e7d-9475-0f1a126fcd8d,Latitude Financial Services,8.12,,Motor Loan,Motor Loan,0,750,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,NO,,,YES,YES,UNKNOWN,NO,False,YES,UNKNOWN,YES,NO,NO,NO,YES,YES,UNKNOWN,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,NO,YES,NO,99999999,84,13.99,0,0,5000,12,6.99,0,40,10,Monthly,,0,,,581ff6dba949c96,581ff6dba949c9659bf95bf1,0,"[""Weekly"",""Fortnightly"",""Monthly""]",FIXED,,SECURED,,a8183c43-78d4-4bde-af31-fcbdb1379a3d,a8183c43-78d4-4bde-af31-fcbdb1379a3d,510585
9.49,False,Macquarie Credit Union - 581ff6dba949c9659bf95bf6,Macquarie Credit Union - New Car Loan,,1,5,0,0.5,0.5,0,0,3,0,0,0,9,5,3,Macquarie Credit Union - b3784fa2-925f-4e20-b787-d4b396a6db51 - 0 to 84,9.49,629.909242014,,37794.554520852,0,37794.554520852,CnotP,1,,,,,140,,0,19/03/2018,19/03/2018,MAQC,ee814e03-9830-42b2-9362-d0d591459182,Macquarie Credit Union,9.69,10.46,New Car Loan,New Car Loan,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,YES,,,NO,YES,UNKNOWN,NO,False,YES,UNKNOWN,YES,NO,NO,NO,YES,YES,UNKNOWN,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,NO,YES,NO,80000,84,9.49,0,0,1000,0,9.49,0,0,0,Monthly,,0,,,581ff6dba949c96,581ff6dba949c9659bf95bf6,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,SECURED,,b3784fa2-925f-4e20-b787-d4b396a6db51,b3784fa2-925f-4e20-b787-d4b396a6db51,510593
13.95,False,Macquarie Credit Union - 581ff6dca949c9659bf95bf8,Macquarie Credit Union - Unsecured Personal Loan,,1,5,0,0.5,0.5,0,0,3,0,0,0,9,5,3,Macquarie Credit Union - b8169b56-881c-42aa-a4e3-76523b712b2e - 0 to 84,13.95,697.270113459,,41836.206807512,0,41836.206807512,PnotC,1,,,,,140,,0,19/03/2018,19/03/2018,MAQC,ee814e03-9830-42b2-9362-d0d591459182,Macquarie Credit Union,,14.94,Unsecured Personal Loan,Unsecured Personal Loan,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,YES,,,YES,NO,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,NO,NO,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,NO,YES,99999999,84,13.95,0,0,15000,0,13.95,0,0,0,Monthly,,0,,,581ff6dca949c96,581ff6dca949c9659bf95bf8,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,UNSECURED,,b8169b56-881c-42aa-a4e3-76523b712b2e,b8169b56-881c-42aa-a4e3-76523b712b2e,510597
12.49,False,ME Bank - 581ff6dca949c9659bf95bfc,ME Bank - Personal Loan,,1,0,0,0,0.5,0,0,0,0,0,0,0.5,5,3,ME Bank - 7be18247-1a67-4647-bab8-4206c5e82294 - 12 to 84,12.49,674.785568417,,40487.134105007,0,40487.134105007,PandC,1,,,,,250,,0,19/03/2018,19/03/2018,MEQ,ee98387f-1a87-4145-9b12-06a5b1764703,ME Bank,12.86,14.27,Personal Loan,Personal Loan,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,NO,,,YES,YES,UNKNOWN,YES,False,NO,UNKNOWN,YES,YES,NO,YES,YES,YES,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,YES,YES,50000,84,12.49,0,0,5000,12,12.49,0,25,0,Monthly,,0,,,581ff6dca949c96,581ff6dca949c9659bf95bfc,0,"[""Fortnightly"",""Monthly""]",FIXED,,UNSECURED,,7be18247-1a67-4647-bab8-4206c5e82294,7be18247-1a67-4647-bab8-4206c5e82294,510607
10.85,False,My Credit Union - 581ff6dca949c9659bf95bfe,My Credit Union - My Personal Loan - Discount,,1,5,0,0.5,0.5,0,0,3,0,0,0,9,5,3,My Credit Union - 74172bdf-416e-4471-a440-e88b94bb0fe7 - 0 to 84,10.85,650.030746361,,39001.844781661,0,39001.844781661,PnotC,1,,,,,100,,0,19/03/2018,19/03/2018,MYCU,8e2af9a6-b521-4ea0-8fdf-bb3cf8c5633f,My Credit Union,,11.55,My Personal Loan - Discount,My Personal Loan - Discount,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,YES,,,YES,NO,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,NO,NO,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,NO,YES,50000,84,10.85,0,0,1000,0,10.85,0,0,0,Monthly,,0,,,581ff6dca949c96,581ff6dca949c9659bf95bfe,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,UNSECURED,,74172bdf-416e-4471-a440-e88b94bb0fe7,74172bdf-416e-4471-a440-e88b94bb0fe7,510611
11.85,False,My Credit Union - 581ff6dca949c9659bf95c00,My Credit Union - Used Car Loan,,1,5,0,0.5,0.5,0,0,3,0,0,0,9,5,3,My Credit Union - 8b678f03-4591-4799-89c3-74ebeab1d148 - 0 to 84,11.85,665.061661543,,39903.699692554,0,39903.699692554,CnotP,1,,,,,150,,0,19/03/2018,19/03/2018,MYCU,8e2af9a6-b521-4ea0-8fdf-bb3cf8c5633f,My Credit Union,12.07,,Used Car Loan,Used Car Loan,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,YES,,,NO,YES,UNKNOWN,NO,False,YES,UNKNOWN,YES,NO,NO,NO,YES,NO,UNKNOWN,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,NO,YES,NO,50000,84,11.85,0,0,5000,0,11.85,0,0,0,Monthly,,0,,,581ff6dca949c96,581ff6dca949c9659bf95c00,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,SECURED,,8b678f03-4591-4799-89c3-74ebeab1d148,8b678f03-4591-4799-89c3-74ebeab1d148,510615
9.49,False,MyState - 581ff6dca949c9659bf95c04,MyState - Secured Personal Loan (Car 2-7 Years),,1,5,0,0.5,0.5,0,0,3,0,0,0,9,5,3,MyState - f4953f9a-3615-47e6-b293-16d4d449e700 - 0 to 120,9.49,629.909242014,,37794.554520852,600,38394.554520852,PandC,1,,,,,200,,0,19/03/2018,19/03/2018,SLCO,507d512a-064c-4893-83f7-6162e218081b,MyState,10.46,13.04,Secured Personal Loan (Car 2-7 Years),Secured Personal Loan (Car 2-7 Years),0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,YES,,,YES,YES,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,YES,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,YES,YES,75000,120,9.49,0,0,10000,0,9.49,0,30,10,Monthly,,0,,,581ff6dca949c96,581ff6dca949c9659bf95c04,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,SECURED,,f4953f9a-3615-47e6-b293-16d4d449e700,f4953f9a-3615-47e6-b293-16d4d449e700,510623
9.99,False,MyState - 581ff6dca949c9659bf95c06,MyState - Mortgage Discount Personal Loan (Existing HL Customer),,1,5,0,0.5,0.5,0,0,3,0,0,0,9,5,3,MyState - 7d7338fb-b9ce-4e0b-a8c1-147c8ee34cce - 0 to 84,9.99,637.263739137,,38235.824348211,600,38835.824348211,PandC,1,,,,,200,,0,19/03/2018,19/03/2018,SLCO,507d512a-064c-4893-83f7-6162e218081b,MyState,10.96,13.54,Mortgage Discount Personal Loan (Existing HL Customer),Mortgage Discount Personal Loan (Existing HL Customer),0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,YES,,,YES,YES,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,YES,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,YES,YES,50000,84,9.99,0,0,3000,0,9.99,0,30,10,Monthly,,0,,,581ff6dca949c96,581ff6dca949c9659bf95c06,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,UNSECURED,,7d7338fb-b9ce-4e0b-a8c1-147c8ee34cce,7d7338fb-b9ce-4e0b-a8c1-147c8ee34cce,510627
7.83,False,MyState - 581ff6dca949c9659bf95c08,MyState - Mortgage Secured Overdraft,,1,0,0,0.5,0.5,0,0,0,0,0,0,1,5,3,MyState - c01622c0-6685-4fa4-8602-424faa2a9a2f - 0 to 999,7.83,605.853982942,,36351.238976524,120,36471.238976524,PnotC,1,,,,,175,,0,19/03/2018,19/03/2018,SLCO,507d512a-064c-4893-83f7-6162e218081b,MyState,,9.49,Mortgage Secured Overdraft,Mortgage Secured Overdraft,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,NO,,,NO,NO,UNKNOWN,YES,False,NO,UNKNOWN,NO,YES,YES,YES,NO,NO,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,NO,YES,99999999,999,7.83,0,0,500,0,7.83,0,30,24,Annually,,0,,,581ff6dca949c96,581ff6dca949c9659bf95c08,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,SECURED,,c01622c0-6685-4fa4-8602-424faa2a9a2f,c01622c0-6685-4fa4-8602-424faa2a9a2f,510631
15.69,False,NAB - 581ff6dda949c9659bf95c0c,NAB - Unsecured Personal Loan,,1,5,0,0.5,0.5,0,0,3,0,0,0,9,5,3,NAB - 935354b6-810d-46aa-8221-469c7f55f4db - 12 to 84,15.69,724.609544427,,43476.572665599,600,44076.572665599,PandC,1,,,,,150,,0,19/03/2018,19/03/2018,NAB,59ca6520-97ec-4f64-9b3b-0eb40520b381,NAB,16.56,18.83,Unsecured Personal Loan,Unsecured Personal Loan,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,YES,,,YES,YES,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,YES,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,YES,YES,55000,84,15.69,0,0,10000,12,15.69,0,35,10,Monthly,,0,,,581ff6dda949c96,581ff6dda949c9659bf95c0c,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,UNSECURED,,935354b6-810d-46aa-8221-469c7f55f4db,935354b6-810d-46aa-8221-469c7f55f4db,510641
12.77,False,NAB - 581ff6dda949c9659bf95c0e,NAB - Personal Overdraft,,1,0,0,0.5,0.5,0,0,0,0,0,0,1,5,3,NAB - 782081d4-9de4-4f6c-b51b-58b7a1062a14 - 0 to 999,12.77,679.065215841,,40743.912950461,0,40743.912950461,PnotC,1,,,,,0,,0,19/03/2018,19/03/2018,NAB,59ca6520-97ec-4f64-9b3b-0eb40520b381,NAB,,12.77,Personal Overdraft,Personal Overdraft,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,NO,,,NO,NO,UNKNOWN,YES,False,NO,UNKNOWN,NO,YES,YES,YES,NO,NO,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,NO,YES,99999999,999,12.77,0,0,500,0,12.77,0,0,35,Semi-annually,,0,,,581ff6dda949c96,581ff6dda949c9659bf95c0e,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,UNSECURED,,782081d4-9de4-4f6c-b51b-58b7a1062a14,782081d4-9de4-4f6c-b51b-58b7a1062a14,510647
8.1,False,Northern Beaches Credit Union - 581ff6dda949c9659bf95c14,Northern Beaches Credit Union - Green Loan,,1,5,0,0.5,0.5,0,0,3,0,0,0,9,5,3,Northern Beaches Credit Union - cfe3eb9a-07c5-4d87-93f0-82607cea07af - 60 to 120,8.1,609.728595877,,36583.715752606,0,36583.715752606,PnotC,1,,,,,195,,0,19/03/2018,19/03/2018,MWCU,d48bb6ae-3af7-4df4-8339-189305f2e339,Northern Beaches Credit Union,,9.44,Green Loan,Green Loan,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,YES,,,YES,NO,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,NO,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,NO,YES,NO,YES,35000,120,8.1,0,0,10000,60,8.1,0,25,0,Monthly,,0,,,581ff6dda949c96,581ff6dda949c9659bf95c14,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,UNSECURED,,cfe3eb9a-07c5-4d87-93f0-82607cea07af,cfe3eb9a-07c5-4d87-93f0-82607cea07af,510661
5.17,False,Northern Beaches Credit Union - 581ff6dda949c9659bf95c18,Northern Beaches Credit Union - Mortgage Secured Overdraft,,1,0,0,0.5,0.5,0,0,0,0,0,0,1,5,3,Northern Beaches Credit Union - b0c1a375-c001-4353-9d2f-30dcb101ae31 - 0 to 999,5.17,568.476515385,,34108.590923123,0,34108.590923123,PnotC,1,,,,,195,,0,19/03/2018,19/03/2018,MWCU,d48bb6ae-3af7-4df4-8339-189305f2e339,Northern Beaches Credit Union,,6.49,Mortgage Secured Overdraft,Mortgage Secured Overdraft,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,NO,,,NO,NO,UNKNOWN,YES,False,NO,UNKNOWN,NO,YES,YES,YES,NO,NO,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,NO,YES,NO,YES,99999999,999,5.17,0,0,1000,0,5.17,0,25,0,Monthly,,0,,,581ff6dda949c96,581ff6dda949c9659bf95c18,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,SECURED,,b0c1a375-c001-4353-9d2f-30dcb101ae31,b0c1a375-c001-4353-9d2f-30dcb101ae31,510669
6.79,False,Northern Inland CU - 581ff6dea949c9659bf95c1c,Northern Inland CU - Smart Personal Loan (Vehicle 0-5 Years),,1,5,0,0.5,0.5,0,0,3,0,0,0,9,5,3,Northern Inland CU - 449bc792-1d1f-4327-a856-22263be10da0 - 12 to 84,6.79,591.068104453,,35464.086267167,480,35944.086267167,PandC,1,,,,,200,,0,19/03/2018,19/03/2018,NICU,bffc70e2-087d-4598-981c-6c5dee88ba3d,Northern Inland CU,7.64,9.93,Smart Personal Loan (Vehicle 0-5 Years),Smart Personal Loan (Vehicle 0-5 Years),0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,YES,,,YES,YES,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,YES,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,YES,YES,100000,84,6.79,0,0,5000,12,6.79,0,0,8,Monthly,,0,,,581ff6dea949c96,581ff6dea949c9659bf95c1c,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,SECURED,,449bc792-1d1f-4327-a856-22263be10da0,449bc792-1d1f-4327-a856-22263be10da0,510677
16.45,False,Now Finance - 581ff6dea949c9659bf95c20,Now Finance - Unsecured Personal Loans,,1,5,0,0.5,0,0,0,0,0,0,-3,5.5,5,3,Now Finance - ad6f5a28-d273-4e79-b697-bf46339dc173 - 18 to 84,16.45,736.734089892,,44204.045393503,780,44984.045393503,PnotC,1,,,,,395,,0,19/03/2018,19/03/2018,NOWF,58bacee8-473c-49ad-914a-308213c88024,Now Finance,,21.54,Unsecured Personal Loans,Unsecured Personal Loans,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,NO,,,YES,NO,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,YES,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,NO,YES,YES,YES,40000,84,16.95,0,0,4000,18,15.95,0,35,13,Monthly,,0,,,581ff6dea949c96,581ff6dea949c9659bf95c20,0,"[""Weekly"",""Fortnightly""]",FIXED,,UNSECURED,,ad6f5a28-d273-4e79-b697-bf46339dc173,ad6f5a28-d273-4e79-b697-bf46339dc173,510687
12.95,False,Now Finance - 581ff6dea949c9659bf95c20,Now Finance - Unsecured Personal Loans,,1,5,0,0.5,0,0,0,0,0,0,-3,5.5,5,3,Now Finance - ad6f5a28-d273-4e79-b697-bf46339dc173 - 18 to 84,12.95,681.824572291,,40909.474337451,780,41689.474337451,PnotC,1,,,,,395,,0,19/03/2018,19/03/2018,NOWF,58bacee8-473c-49ad-914a-308213c88024,Now Finance,,17.55,Unsecured Personal Loans,Unsecured Personal Loans,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,NO,,,YES,NO,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,YES,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,NO,YES,YES,YES,40000,84,13.95,0,0,4000,18,11.95,0,35,13,Monthly,,0,,,581ff6dea949c96,581ff6dea949c9659bf95c20,0,"[""Weekly"",""Fortnightly""]",FIXED,,UNSECURED,,ad6f5a28-d273-4e79-b697-bf46339dc173,ad6f5a28-d273-4e79-b697-bf46339dc173,510689
14.95,False,Now Finance - 581ff6dea949c9659bf95c20,Now Finance - Unsecured Personal Loans,,1,5,0,0.5,0,0,0,0,0,0,-3,5.5,5,3,Now Finance - ad6f5a28-d273-4e79-b697-bf46339dc173 - 18 to 84,14.95,712.910775994,,42774.646559639,780,43554.646559639,PnotC,1,,,,,395,,0,19/03/2018,19/03/2018,NOWF,58bacee8-473c-49ad-914a-308213c88024,Now Finance,,19.55,Unsecured Personal Loans,Unsecured Personal Loans,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,NO,,,YES,NO,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,YES,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,NO,YES,YES,YES,40000,84,15.95,0,0,4000,18,13.95,0,35,13,Monthly,,0,,,581ff6dea949c96,581ff6dea949c9659bf95c20,0,"[""Weekly"",""Fortnightly""]",FIXED,,UNSECURED,,ad6f5a28-d273-4e79-b697-bf46339dc173,ad6f5a28-d273-4e79-b697-bf46339dc173,510685
5.99,False,NRMA Car Loans - 581ff6dfa949c9659bf95c22,NRMA Car Loans - New Vehicle Fast Loan Low Rate,,1,5,0,0,0.5,0,0,0,0,0,-3,5.5,5,3,NRMA Car Loans - dda07a49-985b-4268-a8d2-b8b4afd1def3 - 12 to 84,5.99,579.844559953,,34790.673597184,0,34790.673597184,CnotP,1,,,,,380,,0,19/03/2018,19/03/2018,NRMA,b47dd133-caee-4c83-9013-b31c5ed4b9f6,NRMA Car Loans,6.52,,New Vehicle Fast Loan Low Rate,New Vehicle Fast Loan Low Rate,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,NO,,,YES,YES,UNKNOWN,NO,False,YES,UNKNOWN,YES,NO,NO,NO,NO,YES,UNKNOWN,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,NO,NO,NO,100000,84,5.99,0,0,15000,12,5.99,0,0,0,Monthly,,0,,,581ff6dfa949c96,581ff6dfa949c9659bf95c22,0,"[""Fortnightly"",""Monthly""]",FIXED,,SECURED,,dda07a49-985b-4268-a8d2-b8b4afd1def3,dda07a49-985b-4268-a8d2-b8b4afd1def3,510693
