Average of Min and Max,Firstdayeachmonth,Company + Product,Company + Variation,Secured PL,productcount,Extrarepaypoints,dailyrepaypoints,weeklyrepaypoints,Monthlyrepaypoints,fortnightlyrepaypoints,Quarterlyrepaypoints,redrawfacilitypoints,redrawactivationfeepenalty,Unsecuredpoints,earlyexitfeepenalty,totalpoints,norepaymentlimitpoints,Past Year Filter (In Progress),variationidtemp,average_rate,Initial_Repayment,balance_outstanding,Repayment,fees,Total_Cost,Personal/Car Loan Bucketing,Number of Records,Car Loan,Unsecured PL,Adminnotes,applicationfeesdollar (custom sql query1),Applicationfeesdollar,applicationfeespercent (custom sql query1),Applicationfeespercent,collectiondate (custom sql query1),Collectiondate,Companycode,Companyid,Companyname,comparisonratecar,comparisonratepersonal,description (custom sql query1),Description,Docreleasefees,Earlyexitpenaltyfee,Earlyexitpenaltyfeeperiod,Encumbrancecheckfees,extrarepaymentdollarlimits,extrarepaymentdollarlimitsperiod,filename (custom sql query1),filename,Hasearlyexitpenalty,Hasearlyexitpenaltyfeesvaries,Hasredrawfacility,introrate,introterm,Isboatallowed,Iscarloan,Iscontractemploymentaccepted,Isdebtconsolidationallowed,Isdiscontinued,Isextrarepaymentsallowed,Isfulltimeemploymentaccepted,Isfullydrawnadvance,Isholidaysallowed,Islineofcredit,Ismedicalbillallowed,Ismotorcycleallowed,Isnewcarallowed,Isparttimeemploymentaccepted,Ispersonalloan,Isrcspecial,Isrenovationallowed,Isrestrictedtocurrenthlcustomer,Issecuredbydeposit,Issecuredbyproperty,Issecuredbyvehicle,Isselfemploymentaccepted,Issharesallowed,Isspecial,Isstudentallowed,Isusedcarallowed,Isweddingallowed,maxloanamount,maxloanterm,Maxrate,Minimumincome,Minimumyearsaddress,minloanamount,minloanterm,Minrate,Minredrawamount,Missedpaymentpenalty,Ongoingfees,Ongoingfeesfrequency,Otherbenefits,Otherfees,Otherpurposes,Otherrestrictions,productid (custom sql query1),Productid,Redrawactivationfee,Repaymentfreq,Repaymenttype,Securedbyothers,Securedtype,Specialconditions,uuid (custom sql query1),Uuid,variationid
7.99,False,Bankstown City Unity Bank - 581ff6cca949c9659bf95b18,Bankstown City Unity Bank - Fixed Car Loan,,1,5,0,0.5,0.5,0,0,0,0,0,0,6,5,3,Bankstown City Unity Bank - e9358572-ae52-42f8-82a6-10eb45ccf5ba - 12 to 84,7.99,608.148263542,,36488.895812546,660,37148.895812546,CnotP,1,,,,,200,,0,19/03/2018,19/03/2018,BCCU,37ed7cb7-495d-435e-9b03-0c20a2a51f44,Bankstown City Unity Bank,9.04,,Fixed Car Loan,Fixed Car Loan,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,NO,,,NO,YES,UNKNOWN,NO,False,YES,UNKNOWN,YES,NO,NO,NO,NO,YES,UNKNOWN,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,NO,YES,NO,9999999,84,7.99,0,0,10000,12,7.99,0,0,11,Monthly,,0,,,581ff6cca949c96,581ff6cca949c9659bf95b18,0,"[""Weekly"",""Fortnightly"",""Monthly""]",FIXED,,SECURED,,e9358572-ae52-42f8-82a6-10eb45ccf5ba,e9358572-ae52-42f8-82a6-10eb45ccf5ba,510137
11.99,False,Bankwest - 581ff6cda949c9659bf95b24,Bankwest - Unsecured Personal Loan,,1,5,0,0.5,0.5,0,0,0,0,0,-3,6,5,3,Bankwest - b5510337-a63f-423f-b489-c91d66ab2298 - 36 to 84,11.99,667.181840607,,40030.910436424,480,40510.910436424,PandC,1,,,,,195,,0,19/03/2018,19/03/2018,RIWA,75aa1385-9c1c-41fa-a7da-9c1c5c93a42d,Bankwest,12.81,15.06,Unsecured Personal Loan,Unsecured Personal Loan,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,NO,,,YES,YES,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,YES,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,YES,YES,50000,84,11.99,0,0,5000,36,11.99,0,25,8,Monthly,,0,,,581ff6cda949c96,581ff6cda949c9659bf95b24,0,"[""Weekly"",""Fortnightly"",""Monthly""]",FIXED,,UNSECURED,,b5510337-a63f-423f-b489-c91d66ab2298,b5510337-a63f-423f-b489-c91d66ab2298,510161
7.79,False,Bendigo & Adelaide Bank - 581ff6cea949c9659bf95b2d,Bendigo & Adelaide Bank - Secured Personal Loan,,1,5,0,0.5,0.5,0,0,3,0,0,-3,9,5,3,Bendigo & Adelaide Bank - 94d77466-ab41-479e-b471-281fd1f2d61a - 12 to 84,7.79,605.281225190,,36316.873511397,300,36616.873511397,PnotC,1,,,,,150,,0,19/03/2018,19/03/2018,BBS,55b8c691-f384-448b-a392-da67e3497a91,Bendigo & Adelaide Bank,,9.92,Secured Personal Loan,Secured Personal Loan,0,20,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,YES,,,YES,NO,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,NO,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,NO,YES,99999999,84,7.79,0,0,2000,12,7.79,0,30,5,Monthly,,0,,,581ff6cea949c96,581ff6cea949c9659bf95b2d,0,"[""Weekly"",""Fortnightly"",""Monthly""]",FIXED,,SECURED,,94d77466-ab41-479e-b471-281fd1f2d61a,94d77466-ab41-479e-b471-281fd1f2d61a,510169
12.79,False,Bendigo & Adelaide Bank - 581ff6cea949c9659bf95b2f,Bendigo & Adelaide Bank - Unsecured Personal Loan,,1,5,0,0.5,0.5,0,0,3,0,0,-3,9,5,3,Bendigo & Adelaide Bank - 93c58244-4d60-4abd-a84e-978248e26a43 - 12 to 84,12.79,679.371496086,,40762.289765173,300,41062.289765173,PnotC,1,,,,,150,,0,19/03/2018,19/03/2018,BBS,55b8c691-f384-448b-a392-da67e3497a91,Bendigo & Adelaide Bank,,14.9,Unsecured Personal Loan,Unsecured Personal Loan,0,20,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,YES,UNKNOWN,YES,,,YES,NO,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,NO,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,NO,YES,99999999,84,12.79,0,0,2000,12,12.79,0,30,5,Monthly,,0,,,581ff6cea949c96,581ff6cea949c9659bf95b2f,0,"[""Weekly"",""Fortnightly"",""Monthly""]",FIXED,,UNSECURED,,93c58244-4d60-4abd-a84e-978248e26a43,93c58244-4d60-4abd-a84e-978248e26a43,510173
7.99,False,Beyond Bank Australia - 581ff6cfa949c9659bf95b31,Beyond Bank Australia - Low Rate Car/Personal Loan,,1,5,0,0.5,0.5,0,0,0,0,0,0,6,5,3,Beyond Bank Australia - 530eff8e-c7b0-4f2c-b31e-a4a1153837da - 0 to 84,7.99,608.148263542,,36488.895812546,300,36788.895812546,PandC,1,,,,,175,,0,19/03/2018,19/03/2018,CPS,eaae66d6-0bfb-4fd5-b859-f9903db73fc6,Beyond Bank Australia,8.59,10.29,Low Rate Car/Personal Loan,Low Rate Car/Personal Loan,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,NO,,,YES,YES,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,YES,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,YES,YES,125000,84,7.99,0,0,5000,0,7.99,0,20,5,Monthly,,0,,,581ff6cfa949c96,581ff6cfa949c9659bf95b31,0,"[""Weekly"",""Fortnightly"",""Monthly""]",FIXED,,SECURED,,530eff8e-c7b0-4f2c-b31e-a4a1153837da,530eff8e-c7b0-4f2c-b31e-a4a1153837da,510177
5.69,False,Beyond Bank Australia - 581ff6cfa949c9659bf95b33,Beyond Bank Australia - Low Rate Car Loan (Special),,1,5,0,0.5,0.5,0,0,0,0,0,0,6,5,3,Beyond Bank Australia - 57bbe80c-81a9-4ff2-b299-3744dd2e822f - 0 to 84,5.69,575.669513312,,34540.170798701,0,34540.170798701,CnotP,1,,,,,175,,0,19/03/2018,19/03/2018,CPS,eaae66d6-0bfb-4fd5-b859-f9903db73fc6,Beyond Bank Australia,5.93,,Low Rate Car Loan (Special),Low Rate Car Loan (Special),0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,NO,,,NO,YES,UNKNOWN,NO,False,YES,UNKNOWN,YES,NO,NO,NO,NO,YES,UNKNOWN,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,NO,YES,NO,125000,84,5.69,0,0,25000,0,5.69,0,20,0,Monthly,,0,,,581ff6cfa949c96,581ff6cfa949c9659bf95b33,0,"[""Weekly"",""Fortnightly"",""Monthly""]",FIXED,,SECURED,,57bbe80c-81a9-4ff2-b299-3744dd2e822f,57bbe80c-81a9-4ff2-b299-3744dd2e822f,510181
13.5,False,Beyond Bank Australia - 581ff6cfa949c9659bf95b35,Beyond Bank Australia - Flexi Car/Personal Loan Fixed,,1,5,0,0.5,0.5,0,0,0,0,0,0,6,5,3,Beyond Bank Australia - 2c47552d-bf29-4314-aa28-678e87ee31ab - 0 to 84,13.5,690.295380507,,41417.722830397,0,41417.722830397,PandC,1,,,,,175,,0,19/03/2018,19/03/2018,CPS,eaae66d6-0bfb-4fd5-b859-f9903db73fc6,Beyond Bank Australia,13.76,14.74,Flexi Car/Personal Loan Fixed,Flexi Car/Personal Loan Fixed,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,NO,,,YES,YES,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,YES,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,YES,YES,125000,84,13.5,0,0,5000,0,13.5,0,20,0,Monthly,,0,,,581ff6cfa949c96,581ff6cfa949c9659bf95b35,0,"[""Weekly"",""Fortnightly"",""Monthly""]",FIXED,,UNSECURED,,2c47552d-bf29-4314-aa28-678e87ee31ab,2c47552d-bf29-4314-aa28-678e87ee31ab,510185
8.39,False,Beyond Bank Australia - 581ff6cfa949c9659bf95b37,Beyond Bank Australia - Pinnacle Plus No Fee Car/Personal Loan,,1,5,0,0.5,0.5,0,0,0,0,0,0,6,5,3,Beyond Bank Australia - 7b8ab6e6-dcfa-41a3-be2e-8a4189564303 - 0 to 84,8.39,613.906688593,,36834.401315559,0,36834.401315559,PandC,1,,,,,0,,0,19/03/2018,19/03/2018,CPS,eaae66d6-0bfb-4fd5-b859-f9903db73fc6,Beyond Bank Australia,8.39,8.39,Pinnacle Plus No Fee Car/Personal Loan,Pinnacle Plus No Fee Car/Personal Loan,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,NO,,,YES,YES,UNKNOWN,YES,False,YES,UNKNOWN,YES,YES,NO,YES,YES,YES,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,YES,YES,125000,84,8.39,0,0,5000,0,8.39,0,20,0,Monthly,,0,,,581ff6cfa949c96,581ff6cfa949c9659bf95b37,0,"[""Weekly"",""Fortnightly"",""Monthly""]",FIXED,,SECURED,,7b8ab6e6-dcfa-41a3-be2e-8a4189564303,7b8ab6e6-dcfa-41a3-be2e-8a4189564303,510189
13.99,False,Beyond Bank Australia - 581ff6cfa949c9659bf95b39,Beyond Bank Australia - Line of Credit,,1,0,0,0.5,0.5,0,0,0,0,0,0,1,5,3,Beyond Bank Australia - 5fcdd467-5374-4bb1-8645-49cc944dc7e4 - 0 to 999,13.99,697.892004061,,41873.520243650,0,41873.520243650,PnotC,1,,,,,175,,0,19/03/2018,19/03/2018,CPS,eaae66d6-0bfb-4fd5-b859-f9903db73fc6,Beyond Bank Australia,,15.24,Line of Credit,Line of Credit,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,NO,,,NO,NO,UNKNOWN,YES,False,NO,UNKNOWN,NO,YES,YES,YES,NO,NO,UNKNOWN,YES,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,YES,NO,YES,80000,999,13.99,0,0,2000,0,13.99,0,25,0,Monthly,,0,,,581ff6cfa949c96,581ff6cfa949c9659bf95b39,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,UNSECURED,,5fcdd467-5374-4bb1-8645-49cc944dc7e4,5fcdd467-5374-4bb1-8645-49cc944dc7e4,510193
9.13,False,Big Sky Building Society - 581ff6cfa949c9659bf95b3b,Big Sky Building Society - New Car Loan,,1,5,0,0.5,0.5,0,0,0,0,0,0,6,5,3,Big Sky Building Society - fda972e6-92ed-4480-88a3-e0f98334971c - 12 to 96,9.13,624.645155256,,37478.709315383,0,37478.709315383,CnotP,1,,,,,0,,0,19/03/2018,19/03/2018,MUSA,2e253a61-d181-4d5c-8ac8-3dfa8737371b,Big Sky Building Society,9.13,,New Car Loan,New Car Loan,0,,0,0,,,personal-loan-variations-2018-03-19,personal-loans-2018-03-19,NO,UNKNOWN,NO,,,NO,YES,UNKNOWN,NO,False,YES,UNKNOWN,YES,NO,NO,NO,NO,YES,UNKNOWN,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,NO,YES,NO,75000,96,9.13,0,0,5000,12,9.13,0,0,0,Monthly,,0,,,581ff6cfa949c96,581ff6cfa949c9659bf95b3b,0,"[""Weekly"",""Fortnightly"",""Monthly""]",VARIABLE,,SECURED,,fda972e6-92ed-4480-88a3-e0f98334971c,fda972e6-92ed-4480-88a3-e0f98334971c,510197
